中科院研究所 名称,地区,,地址,邮编,网址,
数学与系统科学研究院,北京,,北京市海淀区中关村东路55号,100190,http://www.amss.cas.cn/,
物理研究所,北京,,北京中关村南三街8号,100190,http://www.iop.cas.cn/,
理论物理研究所,北京,,北京市海淀区中关村东路55号,100190,http://www.itp.cas.cn/,
高能物理研究所,北京,,北京市石景山区玉泉路19号乙,100049,http://www.ihep.cas.cn/,
力学研究所,北京,,北京市北四环西路15号,100190,http://www.imech.cas.cn/,
声学研究所,北京,,北京市海淀区北四环西路21号,100190,http://www.ioa.cas.cn/,
理化技术研究所,北京,,北京市海淀区中关村东路29号,100190,http://www.ipc.cas.cn/,
化学研究所,北京,,北京市海淀区中关村北一街2号,100190,http://www.ic.cas.cn/,
国家纳米科学中心,北京,,北京市海淀区中关村北一条11号,100190,http://www.nanoctr.cas.cn/,
生态环境研究中心,北京,,北京市海淀区双清路18号,100085,http://www.rcees.cas.cn/,
过程工程研究所,北京,,北京市海淀区中关村北二街1号,100190,http://www.ipe.cas.cn/,
地理科学与资源研究所,北京,,北京市朝阳区大屯路甲11号,100101,http://www.igsnrr.cas.cn/,
国家天文台,北京,,北京市朝阳区大屯路甲20号,100012,http://www.nao.cas.cn/,
遥感与数字地球研究所,北京,,北京市海淀区邓庄南路9号,100094,http://www.radi.cas.cn/,
地质与地球物理研究所,北京,,北京市朝阳区北土城西路19号,100029,http://www.igg.cas.cn/,
青藏高原研究所,北京,,北京市朝阳区林萃路16号院3号楼,100101,http://www.itpcas.cas.cn/,
古脊椎动物与古人类研究所,北京,,北京市西直门外大街142号,100044,http://www.ivpp.cas.cn/,
大气物理研究所,北京,,北京市朝阳区德胜门外祁家豁子华严里40号,100029,http://www.iap.cas.cn/,
植物研究所,北京,,北京市海淀区香山南辛村20号,100093,http://www.ib.cas.cn/,
动物研究所,北京,,北京市朝阳区北辰西路1号院5号,100101,http://www.ioz.cas.cn/,
心理研究所,北京,,北京市朝阳区林萃路16号院,100101,http://www.psych.cas.cn/,
微生物研究所,北京,,北京市朝阳区北辰西路1号院3号,100101,http://www.im.cas.cn/,
生物物理研究所,北京,,北京市朝阳区大屯路15号,100101,http://www.ibp.cas.cn/,
遗传与发育生物学研究所,北京,,北京市朝阳区北辰西路1号院2号,100101,http://www.genetics.cas.cn/,
北京基因组研究所,北京,,北京市朝阳区北辰西路1号院104号楼,100101,http://www.big.cas.cn/,
计算技术研究所,北京,,北京市海淀区中关村科学院南路6号,100190,http://www.ict.cas.cn/,
软件研究所,北京,,北京市中关村南四街4号,100190,http://www.is.cas.cn/,
半导体研究所,北京,,北京市海淀区清华东路甲35号,100083,http://www.semi.cas.cn/,
微电子研究所,北京,,北京市朝阳区北土城西路3号,100029,http://www.ime.cas.cn/,
电子学研究所,北京,,北京市海淀区北四环西路19号,100190,http://www.ie.cas.cn/,
自动化研究所,北京,,北京市海淀区中关村东路95号,100190,http://www.ia.cas.cn/,
电工研究所,北京,,北京市海淀区中关村北二条六号,100190,http://www.iee.cas.cn/,
工程热物理研究所,北京,,中国北京北四环西路11号,100190,http://www.iet.cas.cn/,
国家空间科学中心,北京,,北京市海淀区中关村南二条一号,100190,http://www.nssc.cas.cn/,
光电研究院,北京,,北京市海淀区邓庄南路9号,100094,http://www.aoe.cas.cn/,
自然科学史研究所,北京,,北京市海淀区中关村东路55号,100190,http://www.ihns.cas.cn/,
科技战略咨询研究院,北京,,北京市海淀区中关村北一条15号,100190,http://www.ipm.cas.cn/,
信息工程研究所,北京,,北京市海淀区闵庄路甲89号,100093,http://www.iie.cas.cn/,
*数据与通信保护研究教育中心,北京,,北京市海淀区闵庄路甲89号4号楼,100093,http://dacas.iie.cas.cn/,
空间应用工程与技术中心,北京,,北京市海淀区邓庄南路9号,100094,http://www.csu.cas.cn/,
北京综合研究中心,北京,,北京市怀柔区雁栖经济开发区雁栖南四街26号,101407,http://www.basic.cas.cn/,
福建物质结构研究所,福建,,福建省福州市鼓楼区杨桥西路155号(西河),350002,http://www.fjirsm.cas.cn/,
城市环境研究所,福建,,福建省厦门市集美大道1799号,361021,http://www.iue.cas.cn/,
*兰州油气资源研究中心,甘肃,,甘肃省兰州市东岗西路382号,730000,http://www.lig.cas.cn/,
近代物理研究所,甘肃,,甘肃省兰州市南昌路509号,730000,http://www.imp.cas.cn/,
兰州化学物理研究所,甘肃,,甘肃省兰州市天水中路18号,730000,http://www.licp.cas.cn/,
寒区旱区环境与工程研究所,甘肃,,甘肃省兰州市东岗西路320号,730000,http://www.careeri.cas.cn/,
南海海洋研究所,广东,,广东省广州市海珠区新港西路164号,510301,http://www.scsio.cas.cn/,
华南植物园,广东,,广东省广州市天河区兴科路723号,510650,http://www.scib.cas.cn/,
广州能源研究所,广东,,广东省广州市天河区能源路2号,510640,http://www.giec.cas.cn/,
广州地球化学研究所,广东,,广东省广州市天河区科华街511号,510640,http://www.gig.cas.cn/,
广州生物医药与健康研究院,广东,,广东省广州市萝岗区开源大道190号,510530,http://www.gibh.cas.cn/,
深圳先进技术研究院,广东,,广东省深圳市南山区西丽深圳大学城学苑大道1068号,518055,http://www.siat.cas.cn/,
地球化学研究所,贵州,,贵州省贵阳市观山湖区林城西路99号,550081,http://www.gyig.cas.cn/,
深海科学与工程研究所,海南,,海南省三亚市鹿回头路28号,572000,http://www.idsse.cas.cn/,
*农业资源研究中心,河北,,河北省石家庄市槐中路286号,150021,http://www.sjziam.cas.cn/,
*农业技术中心,黑龙江,,黑龙江省哈尔滨市南岗区哈平路138号,150081,http://www.neigaehrb.cas.cn/,
武汉岩土力学研究所,湖北,,湖北省武汉市武昌区水果湖街小洪山2号,430071,http://www.whrsm.cas.cn/,
武汉物理与数学研究所,湖北,,湖北省武汉市武昌小洪山西30号,430071,http://www.wipm.cas.cn/,
武汉病毒研究所,湖北,,武汉武昌小洪山中区44号,430071,http://www.whiov.cas.cn/,
测量与地球物理研究所,湖北,,湖北省武汉市徐东大街340号,430077,http://www.whigg.cas.cn/,
水生生物研究所,湖北,,湖北省武汉市武昌东湖南路7号,430072,http://www.ihb.cas.cn/,
武汉植物园,湖北,,湖北省武汉市武昌磨山,430074,http://www.wbg.cas.cn/,
*长沙矿产资源勘查中心,湖南,,湖南省长沙市岳麓区桐梓坡路96号,410013,http://www.gig.ac.cn/jgsz/glbm/cskczyzx/,
亚热带农业生态研究所,湖南,,湖南省长沙市芙蓉区远大二路644号,410125,http://www.isa.cas.cn/,
*长春人造卫星观测站,吉林,,长春市净月潭西山,130117,http://www.cho.ac.cn/,
长春光学精密机械与物理研究所,吉林,,吉林省长春市东南湖大路3888号,130033,http://www.ciomp.cas.cn/,
长春应用化学研究所,吉林,,吉林省长春市人民大街5625号,130022,http://www.ciac.cas.cn/,
东北地理与农业生态研究所,吉林,,吉林省长春市高新北区盛北大街4888号,130102,http://www.neigae.cas.cn/,
*南京天文光学技术研究所,江苏,,江苏省南京市玄武区板仓街188号,210042,http://www.niaot.cas.cn/,
南京地质古生物研究所,江苏,,江苏省南京市北京东路39号,210008,http://www.nigpas.cas.cn/,
南京土壤研究所,江苏,,江苏省南京市北京东路71号,210008,http://www.issas.cas.cn/,
南京地理与湖泊研究所,江苏,,江苏省南京市北京东路73号,210008,http://www.niglas.cas.cn/,
紫金山天文台,江苏,,江苏省南京市北京西路2号,210008,http://www.pmo.cas.cn/,
苏州纳米技术与纳米仿生研究所,江苏,,江苏省苏州市苏州工业园区若水路398号,215123,http://www.sinano.cas.cn/,
苏州生物医学工程技术研究所,江苏,,江苏省苏州高新区科灵路88号,215163,http://www.sibet.cas.cn/,
合肥物质科学研究院,安徽,,安徽省合肥市蜀山湖路350号,230031,http://www.hf.cas.cn/,
大连化学物理研究所,辽宁,,辽宁省大连市沙河口区中山路457号,116023,http://www.dicp.cas.cn/,
金属研究所,辽宁,,辽宁省沈阳市沈河区文化路72号,110016,http://www.imr.cas.cn/,
沈阳应用生态研究所,辽宁,,辽宁省沈阳市沈河区文化路72号,110016,http://www.iae.cas.cn/,
沈阳自动化研究所,辽宁,,辽宁省沈阳市沈河区南塔街114号,110016,http://www.sia.cas.cn/,
青海盐湖研究所,青海,,青海省西宁市新宁路18号,810008,http://www.isl.cas.cn/,
