附件1：,,,
全国普通高等学校名单,,,
序号,学校名称,所在地,
96,中国民航大学,天津市,
97,天津理工大学,天津市,
98,天津农学院,天津市,
99,天津医科大学,天津市,
100,天津中医药大学,天津市,
101,天津师范大学,天津市,
102,天津职业技术师范大学,天津市,
103,天津外国语大学,天津市,
104,天津商业大学,天津市,
105,天津财经大学,天津市,
106,天津体育学院,天津市,
107,天津音乐学院,天津市,
108,天津美术学院,天津市,
109,天津城建大学,天津市,
110,天津天狮学院,天津市,
111,天津中德应用技术大学,天津市,
112,天津外国语大学滨海外事学院,天津市,
113,天津体育学院运动与文化艺术学院,天津市,
114,天津商业大学宝德学院,天津市,
115,天津医科大学临床医学院,天津市,
116,南开大学滨海学院,天津市,
117,天津师范大学津沽学院,天津市,
118,天津理工大学中环信息学院,天津市,
119,北京科技大学天津学院,天津市,
120,天津大学仁爱学院,天津市,
121,天津财经大学珠江学院,天津市,
122,天津市职业大学,天津市,
123,天津滨海职业学院,天津市,
124,天津工程职业技术学院,天津市,
125,天津青年职业学院,天津市,
126,天津渤海职业技术学院,天津市,
127,天津电子信息职业技术学院,天津市,
128,天津机电职业技术学院,天津市,
129,天津现代职业技术学院,天津市,
130,天津公安警官职业学院,天津市,
131,天津轻工职业技术学院,天津市,
132,天津商务职业学院,天津市,
133,天津国土资源和房屋职业学院,天津市,
134,天津医学高等专科学校,天津市,
135,天津开发区职业技术学院,天津市,
136,天津艺术职业学院,天津市,
137,天津交通职业学院,天津市,
138,天津冶金职业技术学院,天津市,
139,天津石油职业技术学院,天津市,
140,天津城市职业学院,天津市,
141,天津铁道职业技术学院,天津市,
142,天津工艺美术职业学院,天津市,
143,天津城市建设管理职业技术学院,天津市,
144,天津生物工程职业技术学院,天津市,
145,天津海运职业学院,天津市,
146,天津广播影视职业学院,天津市,
河北省（120所）,,,
147,河北大学,保定市,
148,河北工程大学,邯郸市,
149,河北地质大学,石家庄市,
150,河北工业大学,天津市,
151,华北理工大学,唐山市,
152,河北科技大学,石家庄市,
153,河北建筑工程学院,张家口市,
154,河北水利电力学院,沧州市,
155,河北农业大学,保定市,
156,河北医科大学,石家庄市,
157,河北北方学院,张家口市,
158,承德医学院,承德市,
159,河北师范大学,石家庄市,
160,保定学院,保定市,
161,河北民族师范学院,承德市,
162,唐山师范学院,唐山市,
163,廊坊师范学院,廊坊市,
164,衡水学院,衡水市,
165,石家庄学院,石家庄市,
166,邯郸学院,邯郸市,
167,邢台学院,邢台市,
168,沧州师范学院,沧州市,
169,石家庄铁道大学,石家庄市,
170,燕山大学,秦皇岛市,
171,河北科技师范学院,秦皇岛市,
172,唐山学院,唐山市,
173,华北科技学院,廊坊市,
174,中国人民武装警察部队学院,廊坊市,
175,河北体育学院,石家庄市,
176,河北金融学院,保定市,
177,北华航天工业学院,廊坊市,
178,防灾科技学院,廊坊市,
179,河北经贸大学,石家庄市,
180,中央司法警官学院,保定市,
181,河北传媒学院,石家庄市,
182,河北工程技术学院,石家庄市,
183,河北美术学院,石家庄市,
184,河北科技学院,保定市,
185,河北外国语学院,石家庄市,
186,河北大学工商学院,保定市,
187,华北理工大学轻工学院,唐山市,
188,河北科技大学理工学院,石家庄市,
189,河北师范大学汇华学院,石家庄市,
190,河北经贸大学经济管理学院,石家庄市,
191,河北医科大学临床学院,石家庄市,
192,华北电力大学科技学院,保定市,
193,河北工程大学科信学院,邯郸市,
194,河北工业大学城市学院,廊坊市,
195,燕山大学里仁学院,秦皇岛市,
196,石家庄铁道大学四方学院,石家庄市,
197,河北地质大学华信学院,石家庄市,
198,河北农业大学现代科技学院,保定市,
