,081101控制理论与控制工程
山东科技大学,081901采矿工程
上海大学,080103流体力学
,080202机械电子工程
,080602钢铁冶金
上海交通大学,080401精密仪器及机械
,080802电力系统及其自动化
,081002信号与信息处理
,0801力学
,0802机械工程
,0805材料科学与工程
,0807动力工程及工程热物理
,080904电磁场与微波技术
,081001通信与信息系统
,0811控制科学与工程
,0812计算机科学与技术
,0824船舶与海洋工程
,0831生物医学工程
上海理工大学,080300光学工程
沈阳工业大学,080801电机与电器
四川大学,081501水文学及水资源
,080102固体力学
,0805材料科学与工程
,081203计算机应用技术
,081401岩土工程
,081502水力学及河流动力学
,081701化学工程
,082204皮革化学与工程
,082703核技术及应用
,0831生物医学工程
太原理工大学,081901采矿工程
,080503材料加工工程
,081702化学工艺
天津大学,080101一般力学与力学基础
,080103流体力学
,080203机械设计及理论
,0803光学工程
,0804仪器科学与技术
,0805材料科学与工程
,080703动力机械及工程
,080802电力系统及其自动化
,080903微电子学与固体电子学
,081001通信与信息系统
,081102检测技术与自动化装置
,0813建筑学
,081402结构工程
,0815水利工程
,0817化学工程与技术
同济大学,080204车辆工程
,080104工程力学
,080203机械设计及理论
,080502材料学
,081101控制理论与控制工程
,0813建筑学
,0814土木工程
,081601大地测量学与测量工程
,0823交通运输工程
,083002环境工程
武汉大学,081202计算机软件与理论
,0815水利工程
,0816测绘科学与技术
武汉科技大学,080502材料学
武汉理工大学,081902矿物加工工程
,080201机械制造及其自动化
,0805材料科学与工程
,0824船舶与海洋工程
西安电子科技大学,0809电子科学与技术
,0810信息与通信工程
西安建筑科技大学,081302建筑设计及其理论
,081402结构工程
,083002环境工程
西安交通大学,080901物理电子学
,081001通信与信息系统
,080102固体力学
,0802机械工程
,0805材料科学与工程
,0807动力工程及工程热物理
,0808电气工程
,080903微电子学与固体电子学
,0811控制科学与工程
,082701核能科学与工程
,0831生物医学工程
西安科技大学,081903安全技术及工程
西安理工大学,0815水利工程
西北大学,081801矿产普查与勘探
西北工业大学,080103流体力学
,081105导航、制导与控制
,080102固体力学
,080202机械电子工程
,0805材料科学与工程
,080902电路与系统
,081101控制理论与控制工程
,081203计算机应用技术
,082403水声工程
,0825航空宇航科学与技术
,082601武器系统与运用工程
西南交通大学,080804电力电子与电力传动
,081401岩土工程
,0802机械工程
,080802电力系统及其自动化
,081406桥梁与隧道工程
,0823交通运输工程
湘潭大学,080101一般力学与力学基础
新疆农业大学,081504水利水电工程
燕山大学,0802机械工程
,080502材料学
长安大学,081803地质工程
长安大学,0823交通运输工程
长春理工大学,0803光学工程
浙江大学,081202计算机软件与理论
,081703生物化工
,080102固体力学
,0802机械工程
,0803光学工程
,0805材料科学与工程
,0807动力工程及工程热物理
,0808电气工程
,081001通信与信息系统
,0811控制科学与工程
,081203计算机应用技术
,0814土木工程
,081701化学工程
,082801农业机械化工程
,083002环境工程
,0831生物医学工程
浙江工业大学,081705工业催化
郑州大学,081701化学工艺
,080503材料加工工程
中北大学,082601武器系统与运用工程
中国地质大学,0818地质资源与地质工程
中国海洋大学,081505港口、海岸及近海工程
,083001环境科学
,083204水产品加工及贮藏工程
中国科学技术大学,081903安全技术及工程
,0801力学
,081001通信与信息系统
,081202计算机软件与理论
,0827核科学与技术
中国矿业大学,081601大地测量学与测量工程
,080104工程力学
,080203机械设计及理论
,080804电力电子与电力传动
,081401岩土工程
,081801矿产普查与勘探
,0819矿业工程
,083201食品科学
,0828农业工程
,083203农产品加工及贮藏工程
中国石油大学,081705工业催化
,081802地球探测与信息技术
,081702化学工艺
,081801矿产普查与勘探
,0820石油与天然气工程
中南大学,0802机械工程
,0805材料科学与工程
,080603有色金属冶金
,081101控制理论与控制工程
,0814土木工程
,081802地球探测与信息技术
,0819矿业工程
,0823交通运输工程
中南林业科技大学,082902木材科学与技术
重庆大学,080602钢铁冶金
,081202计算机软件与理论
,0802机械工程
,080401精密仪器及机械
,080502材料学
,080701工程热物理
,0808电气工程
,081303城市规划与设计
,081401岩土工程
,081901采矿工程
,0831生物医学工程
